"Latitude","Longitude","pred_prob"
17.322722,78.955722,0.963269853426224
9.599141,73.35989,0.99496120830479
9.2018,76.2837,0.997846062520032
30.44,76.49,0.348606203737142
32.8656,75.1941,0.0783624321861296
34.4,74.6,0.999985749722764
34.3171,74.2594,0.96956711474204
34.0785,74.7966,0.375226195463228
34.1097,74.3719,0.0429325008826627
34.21,74.3404,0.998736712080572
28.602763,77.246069,0.971938080186985
28.987085,79.16725,0.962848585875866
28.953985,79.309527,0.989771858630989
28.940582,79.298524,0.967318208577713
20.041303,85.538635,0.802184443168957
20.055611,85.725903,0.494657643724714
26.817496,83.400831,0.996288317985805
16.161185,74.893407,0.512520655099107
25.125,86.581589,0.777296815718591
16.23,80.048,0.989066436919011
18.371246,76.104454,0.946384198429143
15.208883,76.984923,0.421533742306276
25.594078,85.086904,0.995702458194572
20.828152,77.782663,0.789786860704634
20.51538,77.53992,0.812085542076894
23.628558,86.138239,0.246342482815075
25.262966,87.01366,0.945403306319705
13.431927,77.788089,0.403837935871262
24.403135,87.653026,0.797857899065969
15.214028,76.65661,0.777219639277186
16.926535,80.637085,0.351021397898395
25.1967,84.986813,0.921501051257599
21.9574,78.8991,0.813140788214986
17.226306,82.303694,0.662455233867131
17.098222,82.250639,0.584097350551356
16.983283,80.544214,0.392924134273276
15.841764,78.04274,0.386173706955437
22.056624,78.93978,0.742312810299834
21.111604,79.123069,0.874358147802496
21.887572,83.407596,0.758850353602011
23.441723,85.33616,0.962474236427334
19.352197,73.236091,0.63481162497983
18.399592,77.13528,0.885675140789263
20.516347,79.90125,0.29782101365757
19.035629,77.306374,0.767088367844489
27.284411,71.133905,0.706941050253423
16.724383,81.662728,0.931504860301298
16.837145,81.474185,0.757417436630361
18.872904,73.050858,0.647071557563799
26.619528,71.251165,0.94090731531874
16.830111,81.74575,0.708332723920284
19.181119,72.970814,0.53117872139005
22.051283,78.937857,0.285487705916172
21.202588,79.001493,0.315126590841611
21.202588,79.001493,0.315126590841611
27.13818,72.416834,0.719113259981788
20.545892,86.285453,0.675974347684926
20.557034,86.278017,0.58923147341671
20.094537,85.729339,0.69367245898278
20.016841,85.91108,0.393188075740136
9.679822,76.417773,0.855384690171694
9.718402,76.341839,0.982266570060916
9.663695,76.414395,0.741275542510599
9.663969,76.357365,0.727222773947788
9.745858,76.362488,0.889272347489024
9.72648,76.354869,0.889272347489024
9.71798,76.29162,0.818607840549482
9.758895,76.356595,0.818994896004934
9.55781,76.314399,0.906458839978431
9.76677,76.361519,0.818994896004934
9.676385,76.37277,0.922491761619437
9.713189,76.365464,0.922491761619437
9.738372,76.348501,0.922491761619437
9.775354,76.383318,0.66436523506307
9.713189,76.365464,0.897545196308621
9.694383,76.347261,0.897545196308621
9.582173,76.330633,0.99777793856117
9.642812,76.365919,0.897545196308621
9.670847,76.348507,0.922280762611479
9.655053,76.326774,0.818607840549482
9.67017,76.348898,0.943308197894356
9.602548,76.350493,0.943308197894356
9.410551,76.569621,0.890450859964382
9.49,76.33,0.991738723979322
9.407447,76.511221,0.999114545209988
9.583135,76.582953,0.836309815773521
9.2648,76.787,0.552662703216749
9.215305,76.611319,0.66249582309772
9.44403,76.444133,0.991556132018323
9.354627,76.484401,0.999489612384191
9.3426,76.5137,0.999623219166694
9.39758,76.68308,0.978507822499685
9.34491,76.46914,0.999622410376447
9.44698,76.50346,0.999622410376447
9.384177,76.421358,0.995737535489722
9.406405,76.356791,0.995737535489722
9.324581,76.452046,0.999345507306234
9.411045,76.447921,0.999638751254029
23.387,85.386,0.99680318418385
21.16137,79.04288,0.815290593388975
14.509253,79.968125,0.915834855554136
14.387817,79.766798,0.811561790747133
25.0119,88.1433,0.728701161183323
19.23362,72.80541,0.745700715844024
19.23362,72.80541,0.745700715844024
25.750341,87.54004,0.998445492795561
25.262772,87.013378,0.800542814982758
23.37881,85.32823,0.972819702760263
9.370921,76.572023,0.817146353824834
9.36385,76.56018,0.947399727988454
9.515615,76.535319,0.618030292842534
9.1482,76.5134,0.774926352012937
9.382747,76.570442,0.770598509587821
9.39949,76.57128,0.770598509587821
9.374,76.5294,0.787848518112384
9.47033,76.457405,0.888615275432571
9.432931,76.355535,0.897290123475817
11.320969,75.93078,0.482632906811694
9.48992,76.364395,0.786252042688708
26.10138,86.55111,0.351622361121955
19.44189,72.77522,0.945858631602195
19.45003,72.755918,0.945858631602195
19.41684,73.29618,0.795602454380114
25.59,85.0966,0.568049100663393
9.30654,76.4685,0.967111279358547
9.41099,76.37235,0.662693233022471
9.41768,76.36165,0.936813371698172
9.41715,76.35893,0.937837486427321
9.62082,76.43694,0.89190313560675
9.32893,76.40373,0.90062926442604
9.44113,76.39562,0.878447353677233
9.32432,76.45214,0.946385953346438
9.33402,76.3865,0.880518146659256
9.723821,76.4415,0.880518146659256
9.34567,76.40164,0.880518146659256
9.625587,76.478303,0.880518146659256
9.625587,76.478303,0.880518146659256
9.34154,76.42215,0.956645364541343
9.3421,76.4221,0.956645364541343
9.67966,76.4365,0.97240197969025
9.67966,76.43651,0.97240197969025
23.718039,76.012809,0.390798891324027
9.349968,76.40387,0.851117332618621
26.907907,75.1873,0.652685706131575
26.239009,73.436642,0.904311874174486
21.1806,79.109,0.999812660595862
18.8834,76.3133,0.966914251228533
19.43,77.11,0.955148756328444
20.8628,77.839,0.904867064146297
19.3579,76.4392,0.926588839460556
18.8527,76.5251,0.77750857216008
19.6892,72.7661,0.853924907826684
19.6944,77.3067,0.836717461022027
19.4521,73.328,0.742785535340669
18.7842,73.5571,0.710322210327467
18.3944,77.1206,0.900812177271653
23.0938,83.1307,0.796703854125866
19.1178,73.0175,0.615702989844269
19.1292,73.0013,0.615702989844269
19.327,74.374,0.687150169177954
18.6568,73.6988,0.487984553419189
20.5365,76.1804,0.922230877170881
19.5472,77.4131,0.980724243354249
19.3288,74.6904,0.820326161282129
17.5132,75.415,0.760532919862252
17.6686,75.3197,0.760532919862252
20.6901,73.9475,0.970540600392358
20.4998,77.3076,0.964408739106884
18.4443,77.3743,0.866670676244332
20.3213,77.7683,0.892810792982939
20.3952,78.128,0.853615491037257
19.5039,77.4288,0.709603194378011
21.2137,80.3326,0.287491552751759
19.9102,77.569,0.801099373117118
18.8882,77.34044,0.845411073940142
20.1922,80.0044,0.432421017460127
18.5916,76.5011,0.764045752456213
19.16,73.1018,0.462653168166899
18.785,76.4691,0.836720615457909
20.9509,79.039,0.452670448845585
19.1529,73.1336,0.462653168166899
18.0356,74.0125,0.454043189247065
19.3315,78.0762,0.834522920439755
20.679774,81.08358,0.400240690077209
19.142,72.8768,0.154190924481968
17.305983,75.496979,0.63000016003303
18.505,73.5181,0.574045508691833
18.811,77.2689,0.469375458459302
18.7375,73.0944,0.249746830814197
18.7021,77.4977,0.499074900891059
18.407,74.6738,0.621854617401543
18.6112,76.7481,0.511157226744219
19.4464,76.6084,0.590614582641936
19.3144,76.6675,0.590614582641936
18.4215,77.0521,0.511157226744219
18.5277,77.0399,0.511157226744219
19.8345,77.9657,0.36729372654045
18.2716,76.4708,0.434167044524396
30.873631,76.76059,0.0358867212157388
9.469263,76.366434,0.906366851838295
19.314108,76.870252,0.793236319295084
23.009,74.56,0.667471511542047
32.02966,75.96,0.257830590383202
23.009,74.56,0.667471511542047
30.56125,76.99781,0.469904751827115
30.56452,77.05438,0.495314169623069
30.56125,76.99781,0.469904751827115
30.56452,77.05438,0.495314169623069
23.718039,76.012809,0.716969304975121
24.6496,75.9434,0.722178472549073
24.834,76.0065,0.626952585446816
20.793232,70.855979,0.462883216616504
30.5472,76.9566,0.917694783480421
30.5905,76.9729,0.917694783480421
9.671296,76.498461,0.9304722944189
9.3107,76.4305,0.889233501340654
24.0758,75.0761,0.548521231508931
24.0758,75.0761,0.548521231508931
26.93219,75.81727,0.93627436187227
26.93219,75.81727,0.93627436187227
9.40136,76.36269,0.866560972461695
9.3707,76.4115,0.866560972461695
9.2804,76.4819,0.661914063278352
9.6603,76.4244,0.905768512482675
26.6711,78.3723,0.502180088354297
23.9048,80.1403,0.731476261434769
26.5724,78.7902,0.721130824397126
25.6068,85.1652,0.711190293709616
25.6089,85.1254,0.616063632948109
26.4929,78.6141,0.252077373657965
12.346262,76.633219,0.924146187746786
14.46394,75.84776,0.410398574756208
11.2076,75.8204,0.965400629688194
25.4989,84.859,0.801738819649281
11.300482,75.797846,0.644818578164049
11.278953,75.979224,0.855853716301871
23.46756,85.45409,0.802515362745096
23.46756,85.45409,0.802515362745096
23.46756,85.45409,0.802515362745096
25.597,85.1551,0.519307814492386
25.27426,82.87214,0.162896126418178
20.266437,85.815518,0.892990829069125
23.2621,82.5605,0.713081165241505
20.443063,85.401419,0.993192339180771
24.1502,86.6397,0.408407079614074
23.3441,85.3096,0.260362411777163
25.216151,84.996358,0.962638233349148
21.45,77.145,0.775796196383687
24.8255,87.2135,0.514959177474382
23.8081,85.8233,0.336595889017246
25.180833,87.349167,0.738194115608191
19.485,85.17305,0.998566946346095
20.454265,85.879212,0.964572903319045
19.539743,85.232267,0.99837273000212
19.547775,85.267157,0.99837273000212
20.1153,85.0725,0.889352015154037
25.3652,86.4922,0.786480294366697
25.59945,85.09889,0.830375181631828
19.57919,85.27755,0.862021484622852
19.62541,85.25196,0.862021484622852
19.56816,85.241236,0.958873805998587
19.6275,85.30194444,0.958873805998587
19.49888,85.193611,0.958873805998587
19.555775,85.247881,0.958873805998587
25.191151,86.62709,0.755767878399176
27.44694444,83.41638889,0.659447007852999
20.31638889,86.61166667,0.969484422445183
20.31638889,86.61166667,0.969484422445183
13.094694,77.836243,0.358000521599928
20.5,85.09,0.159260496144313
23.01,72.34,0.928587421371437
22.17,84.49,0.849300351009713
22.56,72.39,0.993490089792952
12.18,76.39,0.221533508793632
20.420079,72.833739,0.875422182849518
20.31,86.07,0.924313594528816
22.17,73.1,0.926126947581559
9.62228,76.64191,0.872893546791856
9.49508,76.40282,0.892987057526936
9.49508,76.40282,0.97649892146015
9.49508,76.40282,0.863915401631025
9.49508,76.40282,0.863915401631025
28.66,77.12,0.979324920221963
9.49508,76.40282,0.990682764002177
29.243179,75.808783,0.994061342855848
9.62228,76.64191,0.950675361761425
9.49508,76.40282,0.909410146168565
9.49508,76.40282,0.909410146168565
9.49508,76.40282,0.924270223142655
9.49508,76.40282,0.924270223142655
9.49508,76.40282,0.924270223142655
9.49508,76.40282,0.932837133920887
9.49508,76.40282,0.932837133920887
9.62228,76.64191,0.959303347043211
9.62228,76.64191,0.959303347043211
9.49508,76.40282,0.896366769424632
9.49508,76.40282,0.896366769424632
30.29,76.35,0.887501437680761
9.25,76.5,0.92336215796305
9.49508,76.40282,0.867886063489014
9.49508,76.40282,0.918554343632703
9.22,76.5,0.795394027880375
9.62228,76.64191,0.902485559614055
9.62228,76.64191,0.902485559614055
9.62228,76.64191,0.902485559614055
26.12,78.1,0.75491556948254
28.36,77.14,0.583395344984863
17.54,77.3,0.999999936065472
23.54,91.24,0.870080930931423
17.24,77.5,0.78097569589378
24.49,93.54,0.589328907605117
26.09,81.48,0.870618138866036
26.15,82.04,0.895926257461415
26.09,81.48,0.27197996560765
9.460415206,76.34,0.909019507931922
30.44,76.49,0.348606203737142
9.33,76.4,0.929019252290313
9.622276,76.641912,0.941152637499481
9.495081,76.402822,0.930225056928607
9.495081,76.402822,0.930225056928607
21.37,85.34,0.478578873252663
21.11,81.16,0.999551806178119
19.05,81.58,0.988047597373586
25.778596,87.407141,0.788159125537885
13.161037,77.488839,0.796290079682668
13.04,77.3,0.749478100522751
23.32,91.29,0.651023366555939
23.79068205,91.45238797,0.249591288573429
20.28,85.79,0.724508014945298
23.58,91.21,0.746238037873513
24.46,84.58,0.869798001685864
21.55,86.44,0.956605403043022
25.31,90.13,0.917554432740677
20.11,85.37,0.966757389493316
21.55,86.44,0.7646274164935
21.27,80.11,0.866869007633175
22.8,86.183334,0.709088695892703
22.48,86.12,0.844925895080192
23.43,88.31,0.442491809972803
25.943965,89.966715,0.958977095048072
23.89872,91.29577,0.693523183168141
23.8674,91.35075,0.667002523703692
24.0333,87.9833,0.866923922242465
24.0333,87.9833,0.917272699115124
24.0333,87.9833,0.917272699115124
24.0333,87.9833,0.858994360003424
24.0333,87.9833,0.858994360003424
24.0333,87.9833,0.867710415941252
24.0333,87.9833,0.867710415941252
24.1833,88.2667,0.983170158958012
24.0333,87.9833,0.977823902336817
24.0333,87.9833,0.977823902336817
24.1833,88.2667,0.977823902336817
24.1833,88.2667,0.977823902336817
24.1833,88.2667,0.977823902336817
24.0333,87.9833,0.952653857204488
24.0333,87.9833,0.952653857204488
26.6,93.4666667,0.579424940197021
23.25,87.85,0.902083477127136
25.4,88.13,0.999073405109566
25.27,88.1,0.772812258701902
26.891367,88.35495,0.915448081940702
22.69488,87.67501,0.702305858736766
26.891367,88.35495,0.606820779861252
26.2566833,89.1463165,0.726253133899045
26.07,89.28,0.948560806252655
27.51845,88.53719,0.330437769177042
19.10943,72.84134,0.215572605877315
19.10943,72.84134,0.215572605877315
27.18,88.21,0.252586305010386
27.18,88.21,0.252586305010386
26.5,88.12,0.791135081718314
26.73518,88.34655,0.663226573123741
26.23,90.58,0.930849371361912
26.28,90.33,0.930849371361912
26.21,92.41,0.461794211865664
26.2,91.15,0.636183476758517
26.2,91.15,0.636183476758517
26.28,90.33,0.955569136967234
26.19,91,0.847369490428656
26.2,91.15,0.847369490428656
25.033333,88.15,0.991890060664428
25,88.08,0.991890060664428
25,88.08,0.991890060664428
27.28,95.54,0.56470651719687
26.19646,91.1538,0.708554380019798
26.1,91.8166667,0.68554663475542
26.35,90.38,0.658558577784943
26.1,91.15,0.780595162859038
26.5,90.39,0.708661493710312
26,91,0.780595162859038
26.2,91.15,0.677292416371468
26.15,91.77,0.729599402708296
26.2566833,89.1463165,0.572040870212374
27.0666667,88.2,0.845249922032483
26.8833333,88.2833333,0.782815991238881
23.9,91.7,0.450996352714435
23.9169,91.7541,0.25842435641472
23.1833333,88.5833333,0.65054931450758
24.2,91.83,0.135075696657989
26.5166667,88.7333333,0.673088010066567
24.46457,88.05264,0.850621281550502
24.2333333,88.2666667,0.795805159922115
22.3188889,88.6713889,0.584306270133348
28.75,76.1666667,0.22201212386731
27.0333333,88.3666667,0.0908171093441431
23.9166667,87.5333333,0.724878152157622
23.98306,87.76667,0.311732955488428
24.18306,88.26667,0.706749603331866
26.33306,89.21667,0.706749603331866
22.47472,88.17028,0.927823131124423
22.39972,87.54972,0.825240160069138
23.98306,87.76667,0.992779600515615
24,87.58306,0.984798366860901
22.55,88.2,0.980768158634042
23.53306,86.84972,0.983105202895212
24.18306,88.26667,0.993852489502392
23.93306,88.25,0.997969345659994
22.75,88.75,0.760353593827123
25,88,0.422653967853984
23.56667,87.09972,0.858635085826158
26.25,89.5,0.729168405269468
23.53306,86.93306,0.584156573938898
23.25,88.5,0.421899429386642
23.25,87.75,0.862762749931891
23.66667,87.71667,0.862762749931891
24,88,0.312921167909329
24,87.58306,0.459138832644273
23.25,88.5,0.821785057436659
23,93,0.468921977535164
24.816,93.933,0.304043974447619
26.69972,88.43306,0.85772501013221
23.25,87.84972,0.500935287183223
21,75.5,0.991469018682876
20.66667,75.34972,0.997237944835609
20.58306,74.95,0.992541338422415
21.11667,75.46667,0.994762697995777
20.88306,75.11667,0.997554723342256
21,75.5,0.994762697995777
20.98306,75.4,0.833687645883469
21.01667,75.46667,0.855035398389099
20.66667,75.23306,0.84517827219245
20.88306,75.11667,0.80057424617845
20.91667,75.33306,0.833687645883469
21,75.5,0.855035398389099
21.3,76.23306,0.91958686446233
21,75.5,0.294128808128443
21.14972,75.88306,0.294128808128443
21,75.5,0.294128808128443
18.2525,72.94528,0.296204585590248
21.25,75.29972,0.964921758368565
21.25,76.03306,0.895160231818961
21.01667,75.26667,0.979526421333415
21.16667,75.7,0.955557576039589
19.78306,72.68306,0.924769697617477
20.91667,73.04972,0.953856978768197
23.672887,91.320334,0.560061583093405
23.672887,91.320334,0.560061583093405
24.41503,88.081494,0.969753840346456
26.054945,90.757484,0.615661240259314
20.185639,85.627298,0.506546644258007
26.023787,86.869328,0.849942915840601
26.023787,86.869328,0.849942915840601
26.106237,87.956625,0.805419698936485
11.219439,78.167723,0.180026926587315
11.219439,78.167723,0.626405071432387
11.219439,78.167723,0.849050410965947
11.219439,78.167723,0.576908024377022
29.149187,75.721652,0.205450560921532
